created,text,retwc,hashtag,followers,friends
2017-12-06 14:03:55,"b'RT @_digitalpayment: While People Of India Survived Ill Fated #Demonetisation, They Cannot Survive A Seizure Of Their #DigitalPayments On A\xe2\x80\xa6'",17,Demonetisation,2,1
2017-12-06 14:03:54,b'RT @laluprasadrjd: Amit Shah\xe2\x80\x99s income increased 300 &amp; his son\xe2\x80\x99s 16000 times. That\xe2\x80\x99s the ultimate achievement of demonetisation. #BJPMoneyLa\xe2\x80\xa6',1251,None,115,742
2017-12-06 14:02:37,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,91,97
2017-12-06 14:02:27,b'RT @Jaydrathsinhji: Tax compliance has increased after#demonetisation\n#BJP4Gujarat #halol #jaydrathsinhji https://t.co/m0zyPdN82O',3,BJP4Gujarat,50,378
2017-12-06 14:02:20,"b'RT @pawanbansal_chd: Despite voting for their own CM as PM of India, Gujaratis got nothing in return except terribly exacting and harassmen\xe2\x80\xa6'",17,None,1325,346
2017-12-06 14:02:11,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,1774,3462
2017-12-06 14:02:10,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,7,179
2017-12-06 14:02:06,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,192,287
2017-12-06 14:01:49,b'RT @narendramodi_in: Congress leaders are in tears on demonetisation. That is because they have lost all that they had looted from the poor\xe2\x80\xa6',640,None,0,30
2017-12-06 14:01:42,"b'RT @pawanbansal_chd: Despite voting for their own CM as PM of India, Gujaratis got nothing in return except terribly exacting and harassmen\xe2\x80\xa6'",17,None,1613,884
2017-12-06 14:01:42,b'RT @laluprasadrjd: WHAT?? Is it due to Demonetisation? https://t.co/aTWKnmrgiA',1274,None,115,742
2017-12-06 14:01:28,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,210,401
2017-12-06 14:00:25,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',17,None,3958,2180
